id;job_id;job_name;job_status_flag;create_timestamp
1;64690;Fantastic Frozen Shoes Fresh;true;2020-10-25T00:45:37
2;60283;Plastic maximize hack;true;2020-10-25T23:48:55
3;45650;ubiquitous;true;2020-10-25T07:10:09
4;46591;Ball;true;2020-10-25T22:42:20
5;79478;online;true;2020-10-25T15:11:05
6;37364;Borders;false;2020-10-25T18:40:43
7;35317;applications;true;2020-10-25T04:24:37
8;5446;out-of-the-box Flat;false;2020-10-25T08:41:36
9;88722;Ecuador Ergonomic;false;2020-10-25T21:12:15
10;49758;online card Multi-channelled;true;2020-10-25T09:35:27
